,signal,date,open,high,low,close,volume,ema20,ema50,ema200,adx,rsi,max_high,min_low,close_above_ema50_cnt,close_below_ema50_cnt,ema50_above_ema200_cnt,ema50_below_ema200_cnt,entry_price,from,symbol,exit_price,to
0,BUY,2015-01-20 13:40:00+05:30,8629.95,8642.95,8627.75,8641.6,0,8620.29401893869,8605.137857229067,8528.051598168284,40.13909626120445,75.79744727850253,8631.7,8599.1,56,0,199,0,8642.95,2015-01-20 13:40:00+05:30,NIFTY 50_ema_adx_rsi_v3,8862.15,2015-01-29 09:20:00+05:30
1,SELL,2015-01-30 14:05:00+05:30,8834.8,8835.75,8806.95,8809.5,0,8838.845964304172,8857.16031563672,8875.559359037585,22.755039268943523,32.694094641163574,8854.25,8827.4,0,41,0,22,8806.95,2015-01-30 14:05:00+05:30,NIFTY 50_ema_adx_rsi_v3,8839.05,2015-02-02 13:35:00+05:30
2,SELL,2015-02-03 11:55:00+05:30,8746.05,8748.2,8729.7,8734.2,0,8789.005503760458,8795.607384684474,8817.056165534616,20.745045464730406,25.688221699780513,8836.05,8744.45,0,6,0,146,8729.7,2015-02-03 11:55:00+05:30,NIFTY 50_ema_adx_rsi_v3,8774.25,2015-02-04 13:15:00+05:30
3,SELL,2015-02-06 10:20:00+05:30,8687.45,8695.05,8680.85,8682.75,0,8715.695816244375,8740.335536175791,8760.683485419091,35.25831688039892,31.41557878765167,8765.85,8683.95,0,21,0,15,8680.85,2015-02-06 10:20:00+05:30,NIFTY 50_ema_adx_rsi_v3,8594.15,2015-02-10 10:20:00+05:30
4,SELL,2015-02-10 13:55:00+05:30,8541.8,8541.8,8525.25,8527.6,0,8564.71623513106,8576.386943271642,8616.219410121606,31.717490655947778,26.344963334377056,8594.85,8537.95,0,14,0,208,8525.25,2015-02-10 13:55:00+05:30,NIFTY 50_ema_adx_rsi_v3,8615.4,2015-02-11 09:15:00+05:30
5,BUY,2015-02-12 14:00:00+05:30,8632.2,8644.1,8631.5,8640.5,0,8623.039849302755,8622.036802329067,8618.096781453849,24.895560044426322,64.79362807453425,8640.45,8602.45,6,0,86,0,8644.1,2015-02-12 14:00:00+05:30,NIFTY 50_ema_adx_rsi_v3,8820.5,2015-02-19 11:00:00+05:30
6,BUY,2015-02-19 15:00:00+05:30,8860.2,8882.0,8859.75,8880.85,0,8839.032470153179,8839.788508948039,8831.055650951337,29.110786470795144,69.00376699827278,8863.5,8794.55,5,0,398,0,8882.0,2015-02-19 15:00:00+05:30,NIFTY 50_ema_adx_rsi_v3,8826.75,2015-02-20 10:05:00+05:30
7,BUY,2015-02-20 11:35:00+05:30,8863.4,8876.85,8862.85,8871.35,0,8851.19613897723,8848.491063173098,8837.430377999204,20.83090437664797,62.92499711997375,8869.55,8819.35,5,0,432,0,8876.85,2015-02-20 11:35:00+05:30,NIFTY 50_ema_adx_rsi_v3,8836.75,2015-02-20 15:00:00+05:30
8,SELL,2015-02-23 14:45:00+05:30,8764.7,8772.15,8753.85,8755.0,0,8797.065829819776,8821.808717650265,8839.246074821003,38.37544276747824,23.57263560812295,8856.1,8761.25,0,15,0,11,8753.85,2015-02-23 14:45:00+05:30,NIFTY 50_ema_adx_rsi_v3,8800.1,2015-02-24 13:50:00+05:30
9,SELL,2015-02-24 14:35:00+05:30,8754.5,8754.95,8727.25,8727.35,0,8764.648886659545,8767.477934109522,8799.633303427308,21.22599411177065,33.87410189458569,8800.5,8738.35,0,5,0,84,8727.25,2015-02-24 14:35:00+05:30,NIFTY 50_ema_adx_rsi_v3,8813.45,2015-02-25 09:15:00+05:30
10,SELL,2015-02-25 14:50:00+05:30,8770.15,8771.95,8752.7,8754.45,0,8785.189643712292,8797.697072782834,8802.202219716693,38.94383017118742,26.958676935271,8820.85,8764.3,0,13,0,5,8752.7,2015-02-25 14:50:00+05:30,NIFTY 50_ema_adx_rsi_v3,8732.45,2015-02-27 10:05:00+05:30
11,BUY,2015-02-27 13:40:00+05:30,8800.35,8818.9,8800.15,8818.9,0,8787.400056443399,8765.159819309956,8759.816833816309,47.18674045259977,73.107490637594,8812.3,8761.35,33,0,5,0,8818.9,2015-02-27 13:40:00+05:30,NIFTY 50_ema_adx_rsi_v3,8783.35,2015-02-28 13:15:00+05:30
12,BUY,2015-02-28 15:10:00+05:30,8877.55,8911.8,8876.7,8907.1,0,8844.341878519492,8843.209112547169,8817.258253154758,27.021257651604394,67.43026877519199,8892.85,8773.2,6,0,98,0,8911.8,2015-02-28 15:10:00+05:30,NIFTY 50_ema_adx_rsi_v3,8979.35,2015-03-04 14:30:00+05:30
13,SELL,2015-03-05 11:40:00+05:30,8917.25,8917.3,8904.1,8910.35,0,8926.340473905764,8947.58299016608,8965.65888175906,29.875188222191657,36.651395568884084,8939.4,8914.6,0,47,0,20,8904.1,2015-03-05 11:40:00+05:30,NIFTY 50_ema_adx_rsi_v3,8957.35,2015-03-05 15:10:00+05:30
14,SELL,2015-03-09 09:35:00+05:30,8831.55,8836.9,8811.75,8811.75,0,8881.699119521716,8897.037113053693,8936.29815497058,33.37539712781144,28.577006573106047,8957.35,8822.85,0,5,0,70,8811.75,2015-03-09 09:35:00+05:30,NIFTY 50_ema_adx_rsi_v3,8730.55,2015-03-11 14:10:00+05:30
15,BUY,2015-03-13 09:15:00+05:30,8844.05,8844.05,8816.3,8819.7,0,8770.747990844606,8761.70111958101,8757.949871946692,22.851600152739174,75.81146456287667,8786.2,8749.05,14,0,5,0,8844.05,2015-03-13 09:15:00+05:30,NIFTY 50_ema_adx_rsi_v3,8730.1,2015-03-13 10:35:00+05:30
16,SELL,2015-03-13 11:30:00+05:30,8732.35,8732.45,8696.35,8700.8,0,8742.228715648946,8753.334413423612,8757.067022659363,35.44333116132808,30.08061754657969,8802.6,8724.65,0,18,0,5,8696.35,2015-03-13 11:30:00+05:30,NIFTY 50_ema_adx_rsi_v3,8691.2,2015-03-17 09:15:00+05:30
17,SELL,2015-03-17 13:40:00+05:30,8651.1,8651.1,8631.15,8632.85,0,8667.732971912308,8678.290146880936,8684.76252129327,41.248556060459286,29.197344595026408,8699.2,8642.0,0,13,0,8,8631.15,2015-03-17 13:40:00+05:30,NIFTY 50_ema_adx_rsi_v3,8704.0,2015-03-17 15:00:00+05:30
18,BUY,2015-03-19 09:35:00+05:30,8771.7,8783.4,8771.7,8782.45,0,8715.003462865878,8705.561990178929,8695.10509213217,31.264251061119523,78.2819858149291,8774.2,8664.35,5,0,77,0,8783.4,2015-03-19 09:35:00+05:30,NIFTY 50_ema_adx_rsi_v3,8702.1,2015-03-19 14:25:00+05:30
19,SELL,2015-03-20 10:45:00+05:30,8591.45,8591.7,8575.3,8582.1,0,8611.01682322104,8651.312906065034,8692.734702172751,59.771990523109245,27.51174044289246,8631.3,8589.85,0,32,0,21,8575.3,2015-03-20 10:45:00+05:30,NIFTY 50_ema_adx_rsi_v3,8595.1,2015-03-23 12:25:00+05:30
20,SELL,2015-03-23 13:50:00+05:30,8561.15,8561.2,8548.0,8549.95,0,8573.802043914162,8579.087919901805,8618.293389288632,21.103199285743905,28.797783138484405,8595.15,8556.35,0,5,0,133,8548.0,2015-03-23 13:50:00+05:30,NIFTY 50_ema_adx_rsi_v3,8583.4,2015-03-24 10:15:00+05:30
21,SELL,2015-03-24 15:00:00+05:30,8549.0,8555.9,8537.15,8537.6,0,8578.883404110638,8580.075519787299,8593.667642838935,24.18337401355858,32.5343571307025,8626.65,8547.2,0,5,0,222,8537.15,2015-03-24 15:00:00+05:30,NIFTY 50_ema_adx_rsi_v3,8349.15,2015-03-27 15:25:00+05:30
22,BUY,2015-03-30 14:15:00+05:30,8463.0,8470.0,8462.4,8469.4,0,8446.271325467003,8423.976645148185,8416.289976573056,35.034417355569886,74.92179075214061,8468.6,8410.95,65,0,6,0,8470.0,2015-03-30 14:15:00+05:30,NIFTY 50_ema_adx_rsi_v3,8471.8,2015-04-01 09:40:00+05:30
23,BUY,2015-04-01 13:20:00+05:30,8513.15,8529.35,8513.15,8524.6,0,8502.277194323344,8496.710782078433,8479.885523109739,26.414857021248714,69.61895460822657,8518.1,8480.2,9,0,145,0,8529.35,2015-04-01 13:20:00+05:30,NIFTY 50_ema_adx_rsi_v3,8744.75,2015-04-15 15:05:00+05:30
24,SELL,2015-04-16 10:25:00+05:30,8707.9,8709.7,8698.6,8698.8,0,8735.471936646361,8767.393823182649,8781.313352074409,49.83208268176031,20.58464342397407,8770.5,8702.05,0,22,0,8,8698.6,2015-04-16 10:25:00+05:30,NIFTY 50_ema_adx_rsi_v3,8440.15,2015-04-22 15:10:00+05:30
25,SELL,2015-04-23 11:30:00+05:30,8407.9,8412.5,8391.7,8398.2,0,8431.67111049914,8424.822650446753,8442.785538894317,29.982153421702474,34.54771694033879,8504.95,8399.2,0,5,0,396,8391.7,2015-04-23 11:30:00+05:30,NIFTY 50_ema_adx_rsi_v3,8408.25,2015-04-23 11:35:00+05:30
26,SELL,2015-04-23 12:40:00+05:30,8397.85,8403.0,8382.95,8386.25,0,8411.921405580422,8417.348730625275,8438.279057322165,28.146535392243845,35.12948054674192,8437.05,8390.05,0,8,0,410,8382.95,2015-04-23 12:40:00+05:30,NIFTY 50_ema_adx_rsi_v3,8447.5,2015-04-23 14:25:00+05:30
27,SELL,2015-04-24 09:30:00+05:30,8366.15,8366.8,8345.4,8345.4,0,8388.781702553946,8398.496761344424,8424.599023939669,20.51120925571371,31.217154999245693,8455.85,8362.2,0,14,0,447,8345.4,2015-04-24 09:30:00+05:30,NIFTY 50_ema_adx_rsi_v3,8259.85,2015-04-28 10:40:00+05:30
28,SELL,2015-04-30 09:15:00+05:30,8224.5,8228.9,8186.4,8190.2,0,8246.77542214037,8254.480100876408,8262.872908591076,22.496105527205977,26.221270289577035,8296.45,8228.45,0,12,0,501,8186.4,2015-04-30 09:15:00+05:30,NIFTY 50_ema_adx_rsi_v3,8207.75,2015-04-30 14:40:00+05:30
29,BUY,2015-05-04 11:45:00+05:30,8285.55,8294.25,8285.5,8293.1,0,8274.997677596819,8249.35929277706,8232.746089786742,35.6405802999904,70.20591812639285,8290.65,8251.7,33,0,15,0,8294.25,2015-05-04 11:45:00+05:30,NIFTY 50_ema_adx_rsi_v3,8274.95,2015-05-06 09:35:00+05:30
30,SELL,2015-05-06 11:45:00+05:30,8150.5,8151.3,8123.25,8132.9,0,8166.3653196585365,8214.653686668638,8261.574408443235,53.81946239576463,29.963937278129606,8182.75,8138.7,0,31,0,20,8123.25,2015-05-06 11:45:00+05:30,NIFTY 50_ema_adx_rsi_v3,8168.3,2015-05-08 09:20:00+05:30
31,BUY,2015-05-11 09:30:00+05:30,8236.7,8255.5,8236.4,8254.45,0,8211.271456964094,8193.751617876476,8163.000702544792,21.011474469625266,69.73808421994909,8247.2,8178.35,7,0,42,0,8255.5,2015-05-11 09:30:00+05:30,NIFTY 50_ema_adx_rsi_v3,8204.7,2015-05-12 09:30:00+05:30
32,SELL,2015-05-12 12:10:00+05:30,8161.8,8162.7,8151.7,8153.35,0,8177.263899365206,8209.647302541705,8219.215289937225,46.405264234174886,26.935572595713083,8185.7,8159.7,0,36,0,7,8151.7,2015-05-12 12:10:00+05:30,NIFTY 50_ema_adx_rsi_v3,8227.45,2015-05-13 09:15:00+05:30
33,SELL,2015-05-14 13:05:00+05:30,8176.3,8176.7,8157.8,8164.9,0,8182.100999526276,8187.9450521034505,8191.929690036263,21.858917529933823,37.24317973155391,8196.65,8167.95,0,16,0,19,8157.8,2015-05-14 13:05:00+05:30,NIFTY 50_ema_adx_rsi_v3,8210.55,2015-05-14 13:20:00+05:30
34,BUY,2015-05-14 15:15:00+05:30,8229.25,8235.5,8219.7,8234.5,0,8209.46619350207,8199.904553589622,8194.633906527879,20.65893085025112,68.12486472092168,8232.55,8171.4,15,0,8,0,8235.5,2015-05-14 15:15:00+05:30,NIFTY 50_ema_adx_rsi_v3,8419.3,2015-05-25 09:15:00+05:30
35,SELL,2015-05-25 13:20:00+05:30,8394.1,8394.3,8373.55,8378.15,0,8407.355580893145,8421.880920024994,8426.421543446153,43.381847592660556,21.73316274553116,8435.05,8388.75,0,53,0,5,8373.55,2015-05-25 13:20:00+05:30,NIFTY 50_ema_adx_rsi_v3,8334.15,2015-05-27 15:00:00+05:30
36,SELL,2015-05-28 11:15:00+05:30,8318.05,8320.3,8312.85,8314.8,0,8330.389169436574,8330.323319227235,8344.787399293764,24.531629703282608,34.036443301269074,8349.6,8314.85,0,5,0,205,8312.85,2015-05-28 11:15:00+05:30,NIFTY 50_ema_adx_rsi_v3,8320.15,2015-05-28 15:20:00+05:30
37,BUY,2015-05-29 11:00:00+05:30,8401.75,8416.15,8401.25,8415.55,0,8377.558167590902,8347.099992910295,8335.558726123418,49.412881704951175,78.28941252187738,8404.9,8343.25,28,0,7,0,8416.15,2015-05-29 11:00:00+05:30,NIFTY 50_ema_adx_rsi_v3,8365.7,2015-06-02 09:25:00+05:30
38,SELL,2015-06-02 13:40:00+05:30,8308.75,8311.75,8290.05,8290.05,0,8320.2315785316,8347.714841063507,8382.654694124265,38.07272932902835,28.79587499659992,8359.1,8294.85,0,74,0,29,8290.05,2015-06-02 13:40:00+05:30,NIFTY 50_ema_adx_rsi_v3,8134.9,2015-06-04 15:15:00+05:30
39,SELL,2015-06-08 09:20:00+05:30,8109.45,8109.45,8070.95,8087.5,0,8133.174211746906,8142.107970180602,8158.1813264341545,33.69507297648641,23.237895749629544,8190.8,8102.05,0,10,0,277,8070.95,2015-06-08 09:20:00+05:30,NIFTY 50_ema_adx_rsi_v3,8048.55,2015-06-09 13:50:00+05:30
40,BUY,2015-06-10 13:05:00+05:30,8106.8,8115.6,8105.9,8114.25,0,8102.35398305086,8090.016978987223,8078.880506465231,22.322973301975033,65.44155072480922,8109.55,8091.9,47,0,21,0,8115.6,2015-06-10 13:05:00+05:30,NIFTY 50_ema_adx_rsi_v3,8066.45,2015-06-11 10:35:00+05:30
41,SELL,2015-06-11 13:50:00+05:30,8026.55,8027.2,8020.35,8021.2,0,8034.622310832893,8052.599455962811,8075.901243666467,37.72533722882413,33.61577976493341,8053.15,8022.55,0,44,0,28,8020.35,2015-06-11 13:50:00+05:30,NIFTY 50_ema_adx_rsi_v3,7985.45,2015-06-12 15:20:00+05:30
42,SELL,2015-06-16 12:55:00+05:30,7976.15,7978.9,7968.95,7969.45,0,7981.565463751349,7988.856251712697,8003.9309652439515,20.86912551574873,37.16296776872003,7994.25,7973.65,0,50,0,41,7968.95,2015-06-16 12:55:00+05:30,NIFTY 50_ema_adx_rsi_v3,8007.35,2015-06-16 14:25:00+05:30
43,BUY,2015-06-17 11:00:00+05:30,8072.9,8077.6,8072.1,8076.15,0,8063.084067342937,8040.044427559659,8015.289543286815,36.24114560634368,65.9084518480594,8075.85,8049.75,37,0,22,0,8077.6,2015-06-17 11:00:00+05:30,NIFTY 50_ema_adx_rsi_v3,8346.8,2015-06-24 15:10:00+05:30
44,BUY,2015-06-25 13:10:00+05:30,8384.65,8389.75,8384.4,8389.55,0,8372.544056843775,8371.925979402791,8363.733207388106,20.0552493352709,72.88196799600509,8385.95,8354.75,5,0,498,0,8389.75,2015-06-25 13:10:00+05:30,NIFTY 50_ema_adx_rsi_v3,8366.6,2015-06-26 09:50:00+05:30
45,BUY,2015-06-26 14:15:00+05:30,8389.6,8403.8,8389.5,8395.55,0,8379.196015771553,8376.087182197452,8372.886556625843,20.075889618406865,66.10229955301875,8390.55,8342.2,14,0,11,0,8403.8,2015-06-26 14:15:00+05:30,NIFTY 50_ema_adx_rsi_v3,8218.1,2015-06-29 09:15:00+05:30
46,SELL,2015-06-29 10:50:00+05:30,8217.1,8217.25,8196.5,8200.0,0,8246.506734229519,8295.423537235902,8347.71189130706,46.96135419288494,21.591460770917408,8247.05,8207.1,0,20,0,19,8196.5,2015-06-29 10:50:00+05:30,NIFTY 50_ema_adx_rsi_v3,8319.85,2015-06-29 14:10:00+05:30
47,BUY,2015-06-30 15:05:00+05:30,8371.45,8374.8,8363.85,8374.8,0,8342.744431960848,8332.554140238533,8322.2593851864,21.60155266827915,74.23315661421975,8374.15,8306.95,10,0,43,0,8374.8,2015-06-30 15:05:00+05:30,NIFTY 50_ema_adx_rsi_v3,8386.15,2015-07-06 09:15:00+05:30
48,BUY,2015-07-06 14:10:00+05:30,8467.55,8476.55,8465.85,8474.8,0,8458.752624083878,8449.838807490003,8446.482150334923,36.63544692670647,68.67374592320769,8472.85,8439.5,21,0,7,0,8476.55,2015-07-06 14:10:00+05:30,NIFTY 50_ema_adx_rsi_v3,8491.85,2015-07-07 14:30:00+05:30
49,SELL,2015-07-08 10:55:00+05:30,8420.15,8420.9,8403.5,8404.25,0,8446.671242140485,8474.98447598927,8484.679365431057,38.328150658079736,24.127375586600976,8457.5,8412.25,0,38,0,7,8403.5,2015-07-08 10:55:00+05:30,NIFTY 50_ema_adx_rsi_v3,8363.4,2015-07-10 09:55:00+05:30
50,SELL,2015-07-10 10:50:00+05:30,8325.2,8326.3,8315.65,8315.75,0,8340.58094010827,8346.37376873652,8384.3230403526,22.901953812140782,28.74906410401664,8375.9,8323.2,0,9,0,156,8315.65,2015-07-10 10:50:00+05:30,NIFTY 50_ema_adx_rsi_v3,8345.75,2015-07-10 13:25:00+05:30
