,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
0,BUY,2015-01-20 13:40:00+05:30,8629.95,8642.95,8627.75,8641.6,0,8620.29,8605.14,8580.36,8528.05,40.14,75.8,8631.7,8599.1,8642.95,2015-01-20 13:40:00+05:30,NIFTY 50_v1_v2,8869.4,2015-01-29 09:20:00+05:30
1,SELL,2015-01-30 11:40:00+05:30,8844.45,8845.35,8820.5,8830.85,0,8885.41,8900.43,8900.53,8888.2,31.51,22.15,8938.0,8837.05,8820.5,2015-01-30 11:40:00+05:30,NIFTY 50_v1_v2,8834.4,2015-02-02 13:35:00+05:30
2,SELL,2015-02-03 11:55:00+05:30,8746.05,8748.2,8729.7,8734.2,0,8789.01,8795.61,8801.0,8817.06,20.75,25.69,8836.05,8744.45,8729.7,2015-02-03 11:55:00+05:30,NIFTY 50_v1_v2,8778.55,2015-02-05 13:10:00+05:30
3,BUY,2015-02-05 13:20:00+05:30,8797.5,8815.35,8791.8,8807.35,0,8765.79,8757.51,8756.16,8765.52,20.92,79.32,8799.65,8742.05,8815.35,2015-02-05 13:20:00+05:30,NIFTY 50_v1_v2,8756.95,2015-02-05 14:55:00+05:30
4,SELL,2015-02-05 15:20:00+05:30,8696.05,8698.3,8683.95,8694.55,0,8763.53,8770.46,8766.48,8769.78,38.99,20.08,8838.3,8695.95,8683.95,2015-02-05 15:20:00+05:30,NIFTY 50_v1_v2,8631.2,2015-02-10 11:15:00+05:30
5,SELL,2015-02-10 12:10:00+05:30,8595.65,8595.7,8572.85,8580.9,0,8604.98,8592.85,8596.64,8627.92,22.82,39.94,8646.15,8583.6,8572.85,2015-02-10 12:10:00+05:30,NIFTY 50_v1_v2,8610.75,2015-02-11 09:15:00+05:30
6,BUY,2015-02-12 13:50:00+05:30,8626.4,8640.45,8624.35,8638.55,0,8620.03,8620.83,8619.05,8617.73,24.31,66.41,8630.9,8601.85,8640.45,2015-02-12 13:50:00+05:30,NIFTY 50_v1_v2,8820.5,2015-02-19 11:00:00+05:30
7,BUY,2015-02-19 14:45:00+05:30,8837.9,8863.5,8835.4,8857.5,0,8830.32,8836.79,8842.12,8830.08,27.37,63.36,8844.5,8794.55,8863.5,2015-02-19 14:45:00+05:30,NIFTY 50_v1_v2,8827.65,2015-02-20 09:35:00+05:30
8,BUY,2015-02-20 11:35:00+05:30,8863.4,8876.85,8862.85,8871.35,0,8851.2,8848.49,8847.84,8837.43,20.83,62.92,8869.55,8819.35,8876.85,2015-02-20 11:35:00+05:30,NIFTY 50_v1_v2,8838.1,2015-02-20 13:55:00+05:30
9,SELL,2015-02-23 14:05:00+05:30,8824.35,8825.85,8782.55,8784.75,0,8834.17,8842.23,8846.74,8845.17,21.73,24.7,8856.1,8813.0,8782.55,2015-02-23 14:05:00+05:30,NIFTY 50_v1_v2,8807.55,2015-02-25 09:15:00+05:30
10,SELL,2015-02-25 14:50:00+05:30,8770.15,8771.95,8752.7,8754.45,0,8785.19,8797.7,8798.36,8802.2,38.94,26.96,8820.9,8764.3,8752.7,2015-02-25 14:50:00+05:30,NIFTY 50_v1_v2,8764.75,2015-02-27 11:35:00+05:30
